,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.00039997100830078123,0.0028000354766845705,0.9171978751660026,0.0,0.5,-2.8598840746649157
std,0.0005476829627749818,0.00044744801182811783,0.0017505214244972185,0.0,0.0,0.060460868055209976
min,0.0,0.0019996166229248047,0.9163346613545816,0.0,0.5,-2.889698423478584
25%,0.0,0.002999544143676758,0.9163346613545816,0.0,0.5,-2.8896984234785834
50%,0.0,0.0029997825622558594,0.9163346613545816,0.0,0.5,-2.8896984234785834
75%,0.00099945068359375,0.003000497817993164,0.9166666666666666,0.0,0.5,-2.878231366242557
max,0.0010004043579101562,0.0030007362365722656,0.9203187250996016,0.0,0.5,-2.75209373664627
