,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.22638626098632814,0.03369951248168945,0.9132169733763359,0.16139194139194138,0.7537711184605594,-0.28134103737060623
std,0.005473447328457656,0.0039483822269446075,0.007118881083195805,0.10285268140976961,0.033211907393288935,0.05464543396830654
min,0.21812820434570312,0.028015851974487305,0.9043824701195219,0.0,0.7140795712224284,-0.37846539853879985
25%,0.22483611106872559,0.031223058700561523,0.9083665338645418,0.14285714285714285,0.7304347826086955,-0.26606748283077575
50%,0.22725605964660645,0.03582191467285156,0.9126984126984127,0.16666666666666666,0.7544513457556936,-0.25949213788745606
75%,0.2287900447845459,0.03594684600830078,0.9203187250996016,0.23076923076923075,0.7717532467532467,-0.25187951617149096
max,0.23292088508605957,0.037489891052246094,0.9203187250996016,0.26666666666666666,0.7981366459627329,-0.2508006514245087
