,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.6296472549438477,0.05260391235351562,0.9092360715866692,0.3464935827326914,0.7485600907029478,-0.24872979181669316
std,0.11958993464019996,0.009441780173484727,0.010306749848402744,0.09675478515849195,0.08107751049557997,0.02219198593948017
min,0.5116903781890869,0.03995847702026367,0.896414342629482,0.23529411764705882,0.6472049689440994,-0.27557557464608057
25%,0.5125753879547119,0.04899883270263672,0.9043824701195219,0.25,0.6923160173160173,-0.26063002034935123
50%,0.6370010375976562,0.05003499984741211,0.9087301587301587,0.3870967741935483,0.7480331262939958,-0.25591824316358597
75%,0.7009680271148682,0.06199812889099121,0.9123505976095617,0.42105263157894735,0.8142857142857143,-0.22645689465919164
max,0.786001443862915,0.062029123306274414,0.9243027888446215,0.4390243902439024,0.8409606266749123,-0.22506822626525644
