,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.356304931640625,0.043857669830322264,0.9092360715866692,0.3464935827326914,0.7485600907029478,-0.24861208538035573
std,0.013519020619620662,0.0022552929068294474,0.010306749848402744,0.09675478515849195,0.08107751049557997,0.021064468781798046
min,0.3371918201446533,0.040801048278808594,0.896414342629482,0.23529411764705882,0.6472049689440994,-0.27128879184186805
25%,0.3513641357421875,0.042211055755615234,0.9043824701195219,0.25,0.6923160173160173,-0.26283032135089435
50%,0.35729408264160156,0.04469919204711914,0.9087301587301587,0.3870967741935483,0.7480331262939958,-0.2562801658972892
75%,0.3617396354675293,0.04553699493408203,0.9123505976095617,0.42105263157894735,0.8142857142857143,-0.22816430837298804
max,0.3739349842071533,0.04604005813598633,0.9243027888446215,0.4390243902439024,0.8409606266749123,-0.22449683943873913
