,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.004279279708862304,0.8971359252929687,0.9042395969939074,0.4168599640592413,0.8048078766534221,-1.154180031368798
std,8.572890286295911e-05,0.045794212523141704,0.0074861213139452805,0.0718852133375424,0.024508790333826535,0.1623323449019824
min,0.004154205322265625,0.8437018394470215,0.8939802336028752,0.3444444444444445,0.7752054151342045,-1.4128902205582339
25%,0.004227876663208008,0.8680160045623779,0.9020664869721473,0.3815028901734104,0.7872510556500915,-1.1850050230936064
50%,0.004322052001953125,0.8909471035003662,0.903863432165319,0.384180790960452,0.8045386962986149,-1.1147405836848487
75%,0.004333019256591797,0.9226748943328857,0.9066427289048474,0.44680851063829785,0.8216893370856785,-1.077591481590672
max,0.004359245300292969,0.9603397846221924,0.9146451033243486,0.527363184079602,0.8353548790985209,-0.9806728479166279
