,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.8388677597045898,0.06984362602233887,0.9089111705791357,0.4222590344618743,0.8829212713459509,-0.29210981359240684
std,0.15995573661945073,0.01159650073077089,0.005028218774111622,0.044343731061757506,0.013405880910006497,0.07296726747701633
min,0.6640968322753906,0.0608980655670166,0.903863432165319,0.38857142857142857,0.861025901870256,-0.40799380760277665
25%,0.7471916675567627,0.06447696685791016,0.9047619047619048,0.39080459770114945,0.8806948900539948,-0.3174286142321317
50%,0.766582727432251,0.06499934196472168,0.9093357271095153,0.411764705882353,0.8865991079114173,-0.26430503795323995
75%,0.9882445335388184,0.06888294219970703,0.9101527403414196,0.4228571428571428,0.890693402126329,-0.23888109603967964
max,1.0282230377197266,0.08996081352233887,0.9164420485175202,0.4972972972972973,0.895593054767757,-0.23194051213420638
