,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.0,0.0032015323638916017,0.8402977748691101,0.0,0.5,-5.515919443565498
std,0.0,0.0008344207717876948,0.002404650189745075,0.0,0.0,0.08305367521158484
min,0.0,0.002009153366088867,0.8385416666666666,0.0,0.5,-5.576573272094954
25%,0.0,0.002995729446411133,0.8385416666666666,0.0,0.5,-5.576573272094954
50%,0.0,0.003000497817993164,0.8385416666666666,0.0,0.5,-5.576573272094954
75%,0.0,0.003971576690673828,0.8429319371727748,0.0,0.5,-5.424938700771312
max,0.0,0.004030704498291016,0.8429319371727748,0.0,0.5,-5.424938700771312
