,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.001237344741821289,0.07624945640563965,0.74654777486911,0.31648391007550714,0.7019778942612311,-1.8255570326783404
std,0.0006045103754853346,0.011212277080371414,0.05440410505210195,0.09681135112950386,0.06745872875845396,1.2472511135908362
min,0.0008840560913085938,0.06190991401672363,0.6858638743455497,0.2028985507246377,0.6146604611804527,-3.8330374725105947
25%,0.0008933544158935547,0.07065486907958984,0.7135416666666666,0.2325581395348837,0.6732599957689867,-1.8150530274736347
50%,0.0008962154388427734,0.07346081733703613,0.7395833333333334,0.3283582089552239,0.687037037037037,-1.696885580278089
75%,0.0012259483337402344,0.08760285377502441,0.765625,0.4,0.7456364410387399,-1.355417049483077
max,0.002287149429321289,0.08761882781982422,0.828125,0.41860465116279066,0.7892955362809393,-0.4273920336463055
