,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.0002925395965576172,0.0016920089721679688,0.8477585078534032,0.0,0.5,-5.25823485527886
std,2.7731473342898168e-05,9.625002627284814e-05,0.0022668362013490285,0.0,0.0,0.07829374868228216
min,0.0002760887145996094,0.0016369819641113281,0.84375,0.0,0.5,-5.396683811704794
25%,0.0002799034118652344,0.0016398429870605469,0.8481675392670157,0.0,0.5,-5.244107410745601
50%,0.0002808570861816406,0.0016560554504394531,0.8489583333333334,0.0,0.5,-5.216794351314635
75%,0.00028395652770996094,0.0016641616821289062,0.8489583333333334,0.0,0.5,-5.216794351314635
max,0.0003418922424316406,0.0018630027770996094,0.8489583333333334,0.0,0.5,-5.216794351314634
