,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.021593570709228516,0.0049990653991699215,0.8550229057591624,0.4785273790536948,0.848889559234622,-0.3349233786029159
std,0.006968600041262538,0.0007068028777288395,0.040093400207370615,0.15620595664305983,0.08193162963177204,0.1008512300953699
min,0.01700115203857422,0.003998994827270508,0.8177083333333334,0.25,0.7508230452674897,-0.4218717945669554
25%,0.018999814987182617,0.004998922348022461,0.8219895287958116,0.3859649122807017,0.7950074042733235,-0.4048743268193091
50%,0.019001007080078125,0.004999399185180664,0.84375,0.5526315789473684,0.840144742443593,-0.39016208720477197
75%,0.01900315284729004,0.004999876022338867,0.8802083333333334,0.5818181818181819,0.9033213454622382,-0.2654475407743199
max,0.03396272659301758,0.005998134613037109,0.9114583333333334,0.6222222222222222,0.955151258726465,-0.192261143649223
