,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.37731037139892576,0.004400300979614258,0.8487838132635253,0.1271969696969697,0.7797155209413396,-0.36253653150146603
std,0.04929639937045118,0.000547770185220723,0.010745995577197534,0.06351810801585389,0.10085768456735866,0.04723980873987939
min,0.33496522903442383,0.003999948501586914,0.8324607329842932,0.0625,0.6446502057613168,-0.42654331846828225
25%,0.3380439281463623,0.004000425338745117,0.84375,0.06666666666666667,0.7349936143039592,-0.3898058797368917
50%,0.35598063468933105,0.004000425338745117,0.8541666666666666,0.125,0.7749100909667865,-0.3578783367446869
75%,0.41100239753723145,0.004999637603759766,0.8541666666666666,0.18181818181818182,0.8308652422255131,-0.3317351471013918
max,0.4465596675872803,0.005001068115234375,0.859375,0.2,0.913158451449122,-0.3067199754560774
