,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.0,0.0023947238922119142,0.8477585078534032,0.0,0.5,-5.25823485527886
std,0.0,0.0005405689370972712,0.0022668362013490285,0.0,0.0,0.07829374868228216
min,0.0,0.001999378204345703,0.84375,0.0,0.5,-5.396683811704794
25%,0.0,0.002000093460083008,0.8481675392670157,0.0,0.5,-5.244107410745601
50%,0.0,0.002000570297241211,0.8489583333333334,0.0,0.5,-5.216794351314635
75%,0.0,0.002972841262817383,0.8489583333333334,0.0,0.5,-5.216794351314635
max,0.0,0.0030007362365722656,0.8489583333333334,0.0,0.5,-5.216794351314634
