,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,3.2723883152008058,0.010996723175048828,0.9638655462184873,0.9815928915953908,0.7224462165990058,-0.14260340585392806
std,0.4396298212386832,4.27361562145891e-06,0.003487366834170501,0.0018072990006786605,0.11571907943090504,0.016319289311870256
min,2.9050097465515137,0.010989189147949219,0.957983193277311,0.9785407725321889,0.5263888888888889,-0.1649407965169952
25%,2.970978260040283,0.010997772216796875,0.9635854341736695,0.9814550641940085,0.7361103047895501,-0.14964976319325823
50%,2.980191946029663,0.010998010635375977,0.9649859943977591,0.9821810406272273,0.7375036284470247,-0.1449544277302267
75%,3.7440013885498047,0.010999202728271484,0.9663865546218487,0.9828815977175464,0.7872584541062801,-0.12868429293105413
max,3.7617602348327637,0.010999441146850586,0.9663865546218487,0.9829059829059829,0.824969806763285,-0.12478774889810605
