,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.0009965896606445312,0.003809833526611328,0.9658263305322128,0.9826160059944806,0.5,-1.1803440535197731
std,0.0007076971297897517,0.0008489108471290818,0.0007671184278783812,0.00039706723896359915,0.0,0.026495945234830575
min,0.0,0.002999544143676758,0.9649859943977591,0.9821810406272273,0.5,-1.2093689072948497
25%,0.0009813308715820312,0.002999544143676758,0.9649859943977591,0.9821810406272273,0.5,-1.2093689072948497
50%,0.0009996891021728516,0.004000663757324219,0.9663865546218487,0.9829059829059829,0.5,-1.1609941510030557
75%,0.0010004043579101562,0.004019260406494141,0.9663865546218487,0.9829059829059829,0.5,-1.1609941510030557
max,0.002001523971557617,0.005030155181884766,0.9663865546218487,0.9829059829059829,0.5,-1.1609941510030555
