,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,2.8523693561553953,0.14999375343322754,0.938375350140056,0.9678310556737081,0.7310122753693303,-0.15353457124543213
std,0.2692680533665299,0.008967804544630977,0.02022343008150375,0.0109393766071741,0.08643679936789554,0.026869522351772826
min,2.553048849105835,0.1360015869140625,0.9159663865546218,0.9556213017751479,0.6235123367198838,-0.17458621999184026
25%,2.5665409564971924,0.14599370956420898,0.9173669467787114,0.9565857247976453,0.6664251207729469,-0.17262871227788315
50%,2.996140241622925,0.15500211715698242,0.9467787114845938,0.9723032069970845,0.7517210144927537,-0.1668924227849641
75%,3.0549869537353516,0.15597033500671387,0.9537815126050421,0.9761042722664736,0.7730043541364295,-0.1421185709755197
max,3.091129779815674,0.15700101852416992,0.957983193277311,0.9785407725321889,0.8403985507246378,-0.1114469301969535
