,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.144797420501709,0.01232447624206543,0.9596638655462184,0.9793224952846519,0.7678672952469098,-0.15771480268522495
std,0.0100777968404566,0.0011933090515263796,0.007568210692496556,0.003962064003555845,0.098297788104935,0.03778774381001629
min,0.1330254077911377,0.01099848747253418,0.9509803921568627,0.9746560463432294,0.6351814223512336,-0.19553281739567208
25%,0.13899898529052734,0.011599063873291016,0.9523809523809523,0.9756097560975611,0.7116545893719807,-0.19016920792386272
50%,0.1413872241973877,0.012024164199829102,0.9621848739495799,0.9807005003573982,0.7700785024154589,-0.16442023833575478
75%,0.15421009063720703,0.01297307014465332,0.9649859943977591,0.9821810406272273,0.8461538461538461,-0.1297236289154811
max,0.15636539459228516,0.014027595520019531,0.9677871148459384,0.9834651329978432,0.8762681159420291,-0.10872812085535417
