,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.1571195125579834,0.009261465072631836,0.6977830060627999,0.7596384055809384,0.7388477555288273,-0.8271180741427511
std,0.03205786556649297,0.001236390232133861,0.09667482635506242,0.09115688363545499,0.11712450997795046,0.29433329195659585
min,0.12700414657592773,0.007998228073120117,0.5775193798449613,0.6378737541528239,0.6159829798550628,-1.1189037050134014
25%,0.13900208473205566,0.008314132690429688,0.6186770428015564,0.6878980891719746,0.6718329747175901,-1.0520264570922602
50%,0.13905763626098633,0.009000301361083984,0.7198443579766537,0.8105263157894738,0.6801707907477138,-0.9222135826667489
75%,0.1770017147064209,0.009998083114624023,0.7713178294573644,0.8150470219435738,0.8413004454491059,-0.6067199396468068
max,0.20353198051452637,0.010996580123901367,0.8015564202334631,0.8468468468468467,0.8849515868746638,-0.43572668629453815
