,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.005394458770751953,0.1096118450164795,0.7001779627786325,0.7454703501901625,0.7373974771986872,-4.90017762343277
std,0.0016725101559269676,0.02679604075352638,0.12512649338831303,0.14388844826306468,0.08362313845038412,2.1926133400110355
min,0.003997087478637695,0.08601808547973633,0.49612403100775193,0.5149253731343284,0.6276510870287879,-7.79552979514189
25%,0.003998994827270508,0.08699750900268555,0.6731517509727627,0.6956521739130435,0.6808431952662722,-6.078192538032696
50%,0.0049822330474853516,0.09803557395935059,0.7431906614785992,0.8242424242424242,0.7481508875739645,-4.391651728490988
75%,0.00600123405456543,0.1379985809326172,0.7751937984496124,0.828125,0.799115750282561,-4.310817116821787
max,0.007992744445800781,0.1390094757080078,0.8132295719844358,0.8644067796610169,0.8312264658418504,-1.9246969386764883
