,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.6828397274017334,0.007599258422851562,0.6914909661267457,0.7845392207654608,0.7351011024412062,-0.572542495428951
std,0.17590558369605483,0.0023025605955754253,0.06677382984686125,0.05534725365544713,0.09160717461071324,0.05747766875906697
min,0.528001070022583,0.005999088287353516,0.5758754863813229,0.6876790830945558,0.6211355627950269,-0.6365001648953891
25%,0.5410008430480957,0.005999088287353516,0.6937984496124031,0.7893333333333333,0.6947955890263583,-0.6243084908681398
50%,0.6160004138946533,0.00599980354309082,0.7237354085603113,0.8116710875331565,0.7015868746637977,-0.5702593037482625
75%,0.7970035076141357,0.008996963500976562,0.7237354085603113,0.8155844155844156,0.8189947476896484,-0.5173786022104786
max,0.9321928024291992,0.011001348495483398,0.7403100775193798,0.8184281842818428,0.8389927380311996,-0.5142659154224849
