,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.5467653274536133,0.05121145248413086,0.6605013120984526,0.7255046123839072,0.6988114305746113,-0.7980569876768646
std,0.037978856042475105,0.004653992743473819,0.07406000573928916,0.06790636251596785,0.1084458621635628,0.2174001420822684
min,0.4916195869445801,0.04703402519226074,0.5697674418604651,0.6360655737704918,0.5672495179841766,-1.0480736152494914
25%,0.537966251373291,0.04799938201904297,0.6108949416342413,0.6913580246913581,0.6315559440559442,-0.9517704666831328
50%,0.5411505699157715,0.048999786376953125,0.6731517509727627,0.7197231833910034,0.6797673480365788,-0.8241846841310108
75%,0.5715374946594238,0.054026126861572266,0.686046511627907,0.7692307692307694,0.7841233960507945,-0.6532836899363993
max,0.591552734375,0.057997941970825195,0.7626459143968871,0.8111455108359134,0.8313609467455622,-0.512972482384289
