,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,389.2004117488861,0.05120625495910645,0.9691048592387663,0.36446782899862773,0.7908051596123632,-0.12372792116017646
std,530.1568817337833,0.008286334859585652,0.0007314842654776671,0.03625207740635736,0.008443851470811324,0.003637517536581521
min,1.959803819656372,0.04377412796020508,0.968244886282363,0.3148148148148148,0.7833321496052674,-0.1282267927322986
25%,2.0730478763580322,0.044332027435302734,0.9685309683879273,0.3413173652694611,0.7847350651552096,-0.12675347413541474
50%,2.1177968978881836,0.050878047943115234,0.9691031325990559,0.3793103448275862,0.7859972532632744,-0.122855935669693
75%,961.9976103305817,0.05282402038574219,0.9696796338672768,0.38011695906432746,0.7992711500571251,-0.12096936688916786
max,977.8537998199463,0.06422305107116699,0.9699656750572082,0.4067796610169491,0.8006901799809392,-0.1198340363743081
