,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.4807280540466309,0.03728337287902832,0.8522848610985431,0.8924890171509862,0.9053410409926024,-0.4021205240267357
std,0.5458461986214271,0.0018911321146301645,0.026555298533274787,0.018935487136353905,0.0234977374689887,0.0937626650883925
min,0.22687101364135742,0.03568696975708008,0.813953488372093,0.8651685393258426,0.8636425094645754,-0.5428754044444628
25%,0.2290811538696289,0.035997867584228516,0.8443579766536965,0.8870056497175142,0.9113627090983272,-0.4541414168927306
50%,0.242387056350708,0.036520957946777344,0.8560311284046692,0.8945868945868947,0.914796681626547,-0.35102270206662317
75%,0.24826502799987793,0.037904977798461914,0.8599221789883269,0.8983050847457625,0.9180266557867537,-0.33168864002130394
max,1.457036018371582,0.04030609130859375,0.8871595330739299,0.9173789173789174,0.9188766489868081,-0.33087445670855803
