,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.002801847457885742,0.07559881210327149,0.834395077368564,0.8778664546946657,0.8950955787702537,-1.0503412081624486
std,0.0008384242546204305,0.02244760717276739,0.02076435455090621,0.016212989493594017,0.025974074433799475,0.33069186636734993
min,0.002000093460083008,0.06199979782104492,0.8023255813953488,0.8521739130434782,0.8502568956192538,-1.5203784754255205
25%,0.0020003318786621094,0.06299948692321777,0.8326848249027238,0.8760806916426512,0.899156806745546,-1.18930551225598
50%,0.0030002593994140625,0.06499290466308594,0.8365758754863813,0.8818443804034583,0.899938800489596,-1.0559813237739268
75%,0.0030040740966796875,0.07299923896789551,0.8404669260700389,0.8826815642458101,0.9119407044743641,-0.8072789007423189
max,0.004004478454589844,0.11500263214111328,0.8599221789883269,0.8965517241379309,0.9141846865225078,-0.6787618286144972
