,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.0005907058715820312,0.0028101921081542967,0.6656290531776913,0.7992523364485982,0.5,-11.549030727400103
std,0.0005394414798119334,0.0008480949576044957,0.0005800435739299044,0.0004179566313083769,0.0,0.020034459100620572
min,0.0,0.0020036697387695312,0.6653696498054474,0.7990654205607477,0.5,-11.557990409888387
25%,0.0,0.0020051002502441406,0.6653696498054474,0.7990654205607477,0.5,-11.557990409888387
50%,0.0009610652923583984,0.003000974655151367,0.6653696498054474,0.7990654205607477,0.5,-11.557990409888387
75%,0.0009911060333251953,0.0030045509338378906,0.6653696498054474,0.7990654205607477,0.5,-11.557990409888387
max,0.0010013580322265625,0.004036664962768555,0.6666666666666666,0.8,0.5,-11.51319199744696
