,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.0018245697021484375,0.1179201602935791,0.834395077368564,0.8778664546946657,0.8950955787702537,-1.0503412081624486
std,0.001385895110027359,0.011079470868242167,0.02076435455090621,0.016212989493594017,0.025974074433799475,0.33069186636734993
min,0.001196146011352539,0.10958003997802734,0.8023255813953488,0.8521739130434782,0.8502568956192538,-1.5203784754255205
25%,0.0011980533599853516,0.11128497123718262,0.8326848249027238,0.8760806916426512,0.899156806745546,-1.18930551225598
50%,0.0012099742889404297,0.11297297477722168,0.8365758754863813,0.8818443804034583,0.899938800489596,-1.0559813237739268
75%,0.0012149810791015625,0.11909198760986328,0.8404669260700389,0.8826815642458101,0.9119407044743641,-0.8072789007423189
max,0.004303693771362305,0.13667082786560059,0.8599221789883269,0.8965517241379309,0.9141846865225078,-0.6787618286144972
