,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.07326698303222656,0.006786155700683594,0.8499622960214761,0.8892239536860836,0.9159533444662674,-0.35171268573556963
std,0.030528495072264118,0.0008170209778535076,0.038511128787047086,0.02874228157474382,0.028640073273278884,0.07333678959470483
min,0.05300545692443848,0.005995512008666992,0.7984496124031008,0.8505747126436781,0.8657044348296377,-0.47947567932014995
25%,0.05900096893310547,0.005997657775878906,0.8326848249027238,0.8767908309455587,0.9191826465388276,-0.3462211841060878
50%,0.06303930282592773,0.006997346878051758,0.8521400778210116,0.8914285714285715,0.9298925608595132,-0.3197729898741086
75%,0.06396031379699707,0.006999492645263672,0.8638132295719845,0.8985507246376812,0.9310485516115871,-0.31200292404692803
max,0.12732887268066406,0.00794076919555664,0.9027237354085603,0.9287749287749288,0.9339385284917721,-0.30109065133057394
