dataset,split_id,split_method,metric,score,model
bace,train,custer,matthews_corrcoef,0.9706849956194916,Chemprop
bace,train,custer,matthews_corrcoef,0.847388979050434,Chemprop
bace,validate,custer,matthews_corrcoef,0.3150913927437146,Chemprop
bace,validate,custer,matthews_corrcoef,0.1762187716878176,Chemprop
bace,train,random,matthews_corrcoef,0.9721168026008824,Chemprop
bace,validate,random,matthews_corrcoef,0.6278445923940645,Chemprop
clintox,train,custer,matthews_corrcoef,0.8724200925755206,Chemprop
clintox,validate,custer,matthews_corrcoef,0.0,Chemprop
clintox,train,random,matthews_corrcoef,0.8935023749000505,Chemprop
clintox,validate,random,matthews_corrcoef,0.2605791218565276,Chemprop
lipophilicity,train,custer,matthews_corrcoef,0.9435410883445224,Chemprop
lipophilicity,validate,custer,matthews_corrcoef,0.0,Chemprop
lipophilicity,train,random,matthews_corrcoef,0.9701433564713944,Chemprop
lipophilicity,validate,random,matthews_corrcoef,0.1448101333903855,Chemprop
HIV,train,custer,matthews_corrcoef,0.7071615977740907,Chemprop
HIV,validate,custer,matthews_corrcoef,0.4039785552496623,Chemprop
HIV,train,random,matthews_corrcoef,0.936690715656355,Chemprop
HIV,validate,random,matthews_corrcoef,0.5089719143809379,Chemprop
sol_del,train,custer,matthews_corrcoef,0.9919206726313838,Chemprop
sol_del,validate,custer,matthews_corrcoef,0.5233793327271588,Chemprop
sol_del,train,random,matthews_corrcoef,0.984555020266346,Chemprop
sol_del,validate,random,matthews_corrcoef,0.5455937907445125,Chemprop
tox21,train,custer,matthews_corrcoef,0.8264289253936989,Chemprop
tox21,validate,custer,matthews_corrcoef,0.3345474799464859,Chemprop
tox21,train,random,matthews_corrcoef,0.7248197587236768,Chemprop
tox21,validate,random,matthews_corrcoef,0.4117269818749514,Chemprop
bace,train,random,accuracy_score,0.9860031104199067,SVC
bace,validate,random,accuracy_score,0.8281938325991189,SVC
bace,train,random,f1_score,0.9895348837209302,SVC
bace,validate,random,f1_score,0.8769716088328077,SVC
bace,train,random,roc_auc_score,0.981963160182569,SVC
bace,validate,random,roc_auc_score,0.7905832430480317,SVC
bace,train,random,log_loss,0.48344352245333294,SVC
bace,validate,random,log_loss,5.934052293149696,SVC
bace,train,random,matthews_corrcoef,0.9685049671399284,SVC
bace,validate,random,matthews_corrcoef,0.5933447852315926,SVC
bace,train,random,accuracy_score,0.973561430793157,LogisticRegression
bace,validate,random,accuracy_score,0.8590308370044053,LogisticRegression
bace,train,random,f1_score,0.9803468208092486,LogisticRegression
bace,validate,random,f1_score,0.8993710691823898,LogisticRegression
bace,train,random,roc_auc_score,0.9650945446642034,LogisticRegression
bace,validate,random,roc_auc_score,0.8245305164319248,LogisticRegression
bace,train,random,log_loss,0.9131719960809869,LogisticRegression
bace,validate,random,log_loss,4.868969325939717,LogisticRegression
bace,train,random,matthews_corrcoef,0.9404550155592883,LogisticRegression
bace,validate,random,matthews_corrcoef,0.6656758852212334,LogisticRegression
bace,train,random,accuracy_score,0.9930015552099534,RandomForestClassifier
bace,validate,random,accuracy_score,0.8722466960352423,RandomForestClassifier
bace,train,random,f1_score,0.9947643979057591,RandomForestClassifier
bace,validate,random,f1_score,0.9085173501577286,RandomForestClassifier
bace,train,random,roc_auc_score,0.990113562269072,RandomForestClassifier
bace,validate,random,roc_auc_score,0.8418201516793067,RandomForestClassifier
bace,train,random,log_loss,0.24172269388307854,RandomForestClassifier
bace,validate,random,log_loss,4.412502681095697,RandomForestClassifier
bace,train,random,matthews_corrcoef,0.9842881227794147,RandomForestClassifier
bace,validate,random,matthews_corrcoef,0.6979659334742301,RandomForestClassifier
bace,train,random,accuracy_score,0.8950233281493002,KNeighborsClassifier
bace,validate,random,accuracy_score,0.8722466960352423,KNeighborsClassifier
bace,train,random,f1_score,0.9233390119250425,KNeighborsClassifier
bace,validate,random,f1_score,0.9067524115755627,KNeighborsClassifier
bace,train,random,roc_auc_score,0.8679064333840469,KNeighborsClassifier
bace,validate,random,roc_auc_score,0.8533315276273022,KNeighborsClassifier
bace,train,random,log_loss,3.6258229986598143,KNeighborsClassifier
bace,validate,random,log_loss,4.412492113728778,KNeighborsClassifier
bace,train,random,matthews_corrcoef,0.7602417404876872,KNeighborsClassifier
bace,validate,random,matthews_corrcoef,0.7039985473086611,KNeighborsClassifier
bace,train,random,accuracy_score,0.8188180404354588,GradientBoostingClassifier
bace,validate,random,accuracy_score,0.8193832599118943,GradientBoostingClassifier
bace,train,random,f1_score,0.8766543144520912,GradientBoostingClassifier
