dataset,split_method,split_id,model,metric,score
clintox,cluster,validate,SVC,balanced_accuracy_score,0.4976635514018692
clintox,cluster,train,SVC,f1_score,0.8910891089108911
clintox,cluster,validate,SVC,f1_score,0.0
clintox,cluster,train,SVC,roc_auc_score,0.9878885582010581
clintox,cluster,validate,SVC,roc_auc_score,0.4022029372496662
clintox,cluster,train,SVC,log_loss,0.12797239016660159
clintox,cluster,validate,SVC,log_loss,0.17123291046039468
clintox,cluster,train,SVC,matthews_corrcoef,0.8824081428645786
clintox,cluster,validate,SVC,matthews_corrcoef,-0.012193567673504184
clintox,cluster,N/A,SVC,fit_time,0:00:00.695309
clintox,cluster,train,LogisticRegression,accuracy_score,0.9824980111376292
clintox,cluster,validate,LogisticRegression,accuracy_score,0.9683257918552036
clintox,cluster,train,LogisticRegression,balanced_accuracy_score,0.9038938492063492
clintox,cluster,validate,LogisticRegression,balanced_accuracy_score,0.5
clintox,cluster,train,LogisticRegression,f1_score,0.8854166666666666
clintox,cluster,validate,LogisticRegression,f1_score,0.0
clintox,cluster,train,LogisticRegression,roc_auc_score,0.9961640211640213
clintox,cluster,validate,LogisticRegression,roc_auc_score,0.48164218958611477
clintox,cluster,train,LogisticRegression,log_loss,0.0573682211636123
clintox,cluster,validate,LogisticRegression,log_loss,0.18574432385157166
clintox,cluster,train,LogisticRegression,matthews_corrcoef,0.8805734095123907
clintox,cluster,validate,LogisticRegression,matthews_corrcoef,0.0
clintox,cluster,N/A,LogisticRegression,fit_time,0:00:00.047006
clintox,cluster,train,RandomForestClassifier,accuracy_score,0.9840891010342084
clintox,cluster,validate,RandomForestClassifier,accuracy_score,0.9683257918552036
clintox,cluster,train,RandomForestClassifier,balanced_accuracy_score,0.9177455357142857
clintox,cluster,validate,RandomForestClassifier,balanced_accuracy_score,0.5
clintox,cluster,train,RandomForestClassifier,f1_score,0.8979591836734694
clintox,cluster,validate,RandomForestClassifier,f1_score,0.0
clintox,cluster,train,RandomForestClassifier,roc_auc_score,0.9983382936507936
clintox,cluster,validate,RandomForestClassifier,roc_auc_score,0.34913217623498
clintox,cluster,train,RandomForestClassifier,log_loss,0.06328143711410071
clintox,cluster,validate,RandomForestClassifier,log_loss,0.16921898013618422
clintox,cluster,train,RandomForestClassifier,matthews_corrcoef,0.8920572574359785
clintox,cluster,validate,RandomForestClassifier,matthews_corrcoef,0.0
clintox,cluster,N/A,RandomForestClassifier,fit_time,0:00:00.206992
clintox,cluster,train,KNeighborsClassifier,accuracy_score,0.9260143198090692
clintox,cluster,validate,KNeighborsClassifier,accuracy_score,0.9683257918552036
clintox,cluster,train,KNeighborsClassifier,balanced_accuracy_score,0.583110119047619
clintox,cluster,validate,KNeighborsClassifier,balanced_accuracy_score,0.5
clintox,cluster,train,KNeighborsClassifier,f1_score,0.2790697674418604
clintox,cluster,validate,KNeighborsClassifier,f1_score,0.0
clintox,cluster,train,KNeighborsClassifier,roc_auc_score,0.9249462632275132
clintox,cluster,validate,KNeighborsClassifier,roc_auc_score,0.47096128170894525
clintox,cluster,train,KNeighborsClassifier,log_loss,0.1610582119087326
clintox,cluster,validate,KNeighborsClassifier,log_loss,0.9884039320742505
clintox,cluster,train,KNeighborsClassifier,matthews_corrcoef,0.33606062441178236
clintox,cluster,validate,KNeighborsClassifier,matthews_corrcoef,0.0
clintox,cluster,N/A,KNeighborsClassifier,fit_time,0:00:00.003000
clintox,cluster,train,GradientBoostingClassifier,accuracy_score,0.9252187748607796
clintox,cluster,validate,GradientBoostingClassifier,accuracy_score,0.9683257918552036
clintox,cluster,train,GradientBoostingClassifier,balanced_accuracy_score,0.5567088293650794
clintox,cluster,validate,GradientBoostingClassifier,balanced_accuracy_score,0.5
clintox,cluster,train,GradientBoostingClassifier,f1_score,0.20338983050847456
clintox,cluster,validate,GradientBoostingClassifier,f1_score,0.0
clintox,cluster,train,GradientBoostingClassifier,roc_auc_score,0.9127480158730159
clintox,cluster,validate,GradientBoostingClassifier,roc_auc_score,0.5026702269692924
clintox,cluster,train,GradientBoostingClassifier,log_loss,0.20204061845845359
clintox,cluster,validate,GradientBoostingClassifier,log_loss,0.1623449592933501
clintox,cluster,train,GradientBoostingClassifier,matthews_corrcoef,0.31018422036570265
clintox,cluster,validate,GradientBoostingClassifier,matthews_corrcoef,0.0
clintox,cluster,N/A,GradientBoostingClassifier,fit_time,0:00:00.652110
clintox,cluster,train,DummyClassifier,accuracy_score,0.9164677804295943
clintox,cluster,validate,DummyClassifier,accuracy_score,0.9683257918552036
clintox,cluster,train,DummyClassifier,balanced_accuracy_score,0.5
clintox,cluster,validate,DummyClassifier,balanced_accuracy_score,0.5
clintox,cluster,train,DummyClassifier,f1_score,0.0
clintox,cluster,validate,DummyClassifier,f1_score,0.0
clintox,cluster,train,DummyClassifier,roc_auc_score,0.5
clintox,cluster,validate,DummyClassifier,roc_auc_score,0.5
clintox,cluster,train,DummyClassifier,log_loss,2.885100653512826
clintox,cluster,validate,DummyClassifier,log_loss,1.0939883925989815
clintox,cluster,train,DummyClassifier,matthews_corrcoef,0.0
clintox,cluster,validate,DummyClassifier,matthews_corrcoef,0.0
clintox,cluster,N/A,DummyClassifier,fit_time,0:00:00
lipophilicity,cluster,train,SVC,accuracy_score,0.9988795518207283
lipophilicity,cluster,validate,SVC,accuracy_score,0.9444444444444444
lipophilicity,cluster,train,SVC,balanced_accuracy_score,0.9836065573770492
lipophilicity,cluster,validate,SVC,balanced_accuracy_score,0.5528615428694219
lipophilicity,cluster,train,SVC,f1_score,0.9994202898550725
lipophilicity,cluster,validate,SVC,f1_score,0.9712879409351928
lipophilicity,cluster,train,SVC,roc_auc_score,0.9995530790004183
lipophilicity,cluster,validate,SVC,roc_auc_score,0.7587565360647519
lipophilicity,cluster,train,SVC,log_loss,0.05366991535219921
lipophilicity,cluster,validate,SVC,log_loss,0.15750280321204133
lipophilicity,cluster,train,SVC,matthews_corrcoef,0.9828999735264637
lipophilicity,cluster,validate,SVC,matthews_corrcoef,0.11901895432192434
lipophilicity,cluster,N/A,SVC,fit_time,0:00:06.007517
lipophilicity,cluster,train,LogisticRegression,accuracy_score,0.9941176470588236
lipophilicity,cluster,validate,LogisticRegression,accuracy_score,0.9619047619047619
lipophilicity,cluster,train,LogisticRegression,balanced_accuracy_score,0.9139344262295082
lipophilicity,cluster,validate,LogisticRegression,balanced_accuracy_score,0.49917627677100496
lipophilicity,cluster,train,LogisticRegression,f1_score,0.9969640017348561
lipophilicity,cluster,validate,LogisticRegression,f1_score,0.9805825242718448
lipophilicity,cluster,train,LogisticRegression,roc_auc_score,0.9997123540375034
lipophilicity,cluster,validate,LogisticRegression,roc_auc_score,0.8403409497886972
lipophilicity,cluster,train,LogisticRegression,log_loss,0.027530882871651292
lipophilicity,cluster,validate,LogisticRegression,log_loss,0.15322997002660305
lipophilicity,cluster,train,LogisticRegression,matthews_corrcoef,0.9071147947603283
lipophilicity,cluster,validate,LogisticRegression,matthews_corrcoef,-0.007761474764163181
lipophilicity,cluster,N/A,LogisticRegression,fit_time,0:00:00.329996
lipophilicity,cluster,train,RandomForestClassifier,accuracy_score,0.9994397759103641
lipophilicity,cluster,validate,RandomForestClassifier,accuracy_score,0.9634920634920635
lipophilicity,cluster,train,RandomForestClassifier,balanced_accuracy_score,0.9918032786885246
lipophilicity,cluster,validate,RandomForestClassifier,balanced_accuracy_score,0.5
lipophilicity,cluster,train,RandomForestClassifier,f1_score,0.9997100608872136
lipophilicity,cluster,validate,RandomForestClassifier,f1_score,0.9814066289409862
lipophilicity,cluster,train,RandomForestClassifier,roc_auc_score,0.999995245521281
lipophilicity,cluster,validate,RandomForestClassifier,roc_auc_score,0.7925291884535492
lipophilicity,cluster,train,RandomForestClassifier,log_loss,0.02186608623411124
lipophilicity,cluster,validate,RandomForestClassifier,log_loss,0.1377348767945005
lipophilicity,cluster,train,RandomForestClassifier,matthews_corrcoef,0.9914818962931801
lipophilicity,cluster,validate,RandomForestClassifier,matthews_corrcoef,0.0
lipophilicity,cluster,N/A,RandomForestClassifier,fit_time,0:00:00.433001
lipophilicity,cluster,train,KNeighborsClassifier,accuracy_score,0.9719887955182073
lipophilicity,cluster,validate,KNeighborsClassifier,accuracy_score,0.9619047619047619
lipophilicity,cluster,train,KNeighborsClassifier,balanced_accuracy_score,0.6573708683579933
lipophilicity,cluster,validate,KNeighborsClassifier,balanced_accuracy_score,0.49917627677100496
lipophilicity,cluster,train,KNeighborsClassifier,f1_score,0.9856363114047688
lipophilicity,cluster,validate,KNeighborsClassifier,f1_score,0.9805825242718448
lipophilicity,cluster,train,KNeighborsClassifier,roc_auc_score,0.9710452246015748
lipophilicity,cluster,validate,KNeighborsClassifier,roc_auc_score,0.631903158799513
lipophilicity,cluster,train,KNeighborsClassifier,log_loss,0.06359369439464838
lipophilicity,cluster,validate,KNeighborsClassifier,log_loss,0.7797567632389103
lipophilicity,cluster,train,KNeighborsClassifier,matthews_corrcoef,0.4601749658065166
lipophilicity,cluster,validate,KNeighborsClassifier,matthews_corrcoef,-0.007761474764163181
lipophilicity,cluster,N/A,KNeighborsClassifier,fit_time,0:00:00.005999
lipophilicity,cluster,train,GradientBoostingClassifier,accuracy_score,0.9669467787114846
lipophilicity,cluster,validate,GradientBoostingClassifier,accuracy_score,0.9634920634920635
lipophilicity,cluster,train,GradientBoostingClassifier,balanced_accuracy_score,0.5203467916777604
lipophilicity,cluster,validate,GradientBoostingClassifier,balanced_accuracy_score,0.5
lipophilicity,cluster,train,GradientBoostingClassifier,f1_score,0.9831717056474615
lipophilicity,cluster,validate,GradientBoostingClassifier,f1_score,0.9814066289409862
lipophilicity,cluster,train,GradientBoostingClassifier,roc_auc_score,0.8701207162146742
lipophilicity,cluster,validate,GradientBoostingClassifier,roc_auc_score,0.8021989828808824
lipophilicity,cluster,train,GradientBoostingClassifier,log_loss,0.11563492246591812
lipophilicity,cluster,validate,GradientBoostingClassifier,log_loss,0.14311534526167563
lipophilicity,cluster,train,GradientBoostingClassifier,matthews_corrcoef,0.1804866172303164
lipophilicity,cluster,validate,GradientBoostingClassifier,matthews_corrcoef,0.0
lipophilicity,cluster,N/A,GradientBoostingClassifier,fit_time,0:00:04.915370
lipophilicity,cluster,train,DummyClassifier,accuracy_score,0.9658263305322129
lipophilicity,cluster,validate,DummyClassifier,accuracy_score,0.9634920634920635
lipophilicity,cluster,train,DummyClassifier,balanced_accuracy_score,0.5
lipophilicity,cluster,validate,DummyClassifier,balanced_accuracy_score,0.5
lipophilicity,cluster,train,DummyClassifier,f1_score,0.9826161299515531
lipophilicity,cluster,validate,DummyClassifier,f1_score,0.9814066289409862
lipophilicity,cluster,train,DummyClassifier,roc_auc_score,0.5
lipophilicity,cluster,validate,DummyClassifier,roc_auc_score,0.5
lipophilicity,cluster,train,DummyClassifier,log_loss,1.1803167283414864
lipophilicity,cluster,validate,DummyClassifier,log_loss,1.2609394556872162
lipophilicity,cluster,train,DummyClassifier,matthews_corrcoef,0.0
lipophilicity,cluster,validate,DummyClassifier,matthews_corrcoef,0.0
lipophilicity,cluster,N/A,DummyClassifier,fit_time,0:00:00
HIV,cluster,train,SVC,accuracy_score,0.9717947250986898
HIV,cluster,validate,SVC,accuracy_score,0.9653104230831577
HIV,cluster,train,SVC,balanced_accuracy_score,0.6122467167741379
HIV,cluster,validate,SVC,balanced_accuracy_score,0.5807565319882574
HIV,cluster,train,SVC,f1_score,0.35723598435462844
HIV,cluster,validate,SVC,f1_score,0.2620689655172414
HIV,cluster,train,SVC,roc_auc_score,0.8617666664182915
HIV,cluster,validate,SVC,roc_auc_score,0.7682397856468297
HIV,cluster,train,SVC,log_loss,0.10733072502767134
HIV,cluster,validate,SVC,log_loss,0.12978287845254813
HIV,cluster,train,SVC,matthews_corrcoef,0.430740896923575
HIV,cluster,validate,SVC,matthews_corrcoef,0.3117938530160533
HIV,cluster,N/A,SVC,fit_time,0:21:19.324255
HIV,cluster,train,LogisticRegression,accuracy_score,0.97365409920476
HIV,cluster,validate,LogisticRegression,accuracy_score,0.9638515156427298
HIV,cluster,train,LogisticRegression,balanced_accuracy_score,0.6545377734199455
HIV,cluster,validate,LogisticRegression,balanced_accuracy_score,0.5779091048851732
HIV,cluster,train,LogisticRegression,f1_score,0.45080500894454384
HIV,cluster,validate,LogisticRegression,f1_score,0.24915824915824916
HIV,cluster,train,LogisticRegression,roc_auc_score,0.9038331958922313
HIV,cluster,validate,LogisticRegression,roc_auc_score,0.7798762051875224
HIV,cluster,train,LogisticRegression,log_loss,0.09006380448388907
HIV,cluster,validate,LogisticRegression,log_loss,0.1401019909567575
HIV,cluster,train,LogisticRegression,matthews_corrcoef,0.49427539652308794
HIV,cluster,validate,LogisticRegression,matthews_corrcoef,0.28481659359977657
HIV,cluster,N/A,LogisticRegression,fit_time,0:00:03.831520
HIV,cluster,train,RandomForestClassifier,accuracy_score,0.999628125178786
HIV,cluster,validate,RandomForestClassifier,accuracy_score,0.9646620197763008
HIV,cluster,train,RandomForestClassifier,balanced_accuracy_score,0.9954361532843496
HIV,cluster,validate,RandomForestClassifier,balanced_accuracy_score,0.5553430895261243
HIV,cluster,train,RandomForestClassifier,f1_score,0.9946214315266859
HIV,cluster,validate,RandomForestClassifier,f1_score,0.19259259259259257
HIV,cluster,train,RandomForestClassifier,roc_auc_score,0.9999791975532512
HIV,cluster,validate,RandomForestClassifier,roc_auc_score,0.7831127330761292
HIV,cluster,train,RandomForestClassifier,log_loss,0.018797712808773605
HIV,cluster,validate,RandomForestClassifier,log_loss,0.24901772765836838
HIV,cluster,train,RandomForestClassifier,matthews_corrcoef,0.994436235552176
HIV,cluster,validate,RandomForestClassifier,matthews_corrcoef,0.2612697741950263
HIV,cluster,N/A,RandomForestClassifier,fit_time,0:00:09.749756
HIV,cluster,train,KNeighborsClassifier,accuracy_score,0.9769723668402083
HIV,cluster,validate,KNeighborsClassifier,accuracy_score,0.9646620197763008
HIV,cluster,train,KNeighborsClassifier,balanced_accuracy_score,0.7269909242455022
HIV,cluster,validate,KNeighborsClassifier,balanced_accuracy_score,0.5804197749584544
HIV,cluster,train,KNeighborsClassifier,f1_score,0.5800730307772561
HIV,cluster,validate,KNeighborsClassifier,f1_score,0.2585034013605442
HIV,cluster,train,KNeighborsClassifier,roc_auc_score,0.9816431783060408
