dataset,split_method,split_id,model,metric,score
sol_del,cluster,N/A,DummyClassifier,fit_time,0:00:00.000963
tox21,cluster,train,SVC,accuracy_score,0.9678462367522903
tox21,cluster,validate,SVC,accuracy_score,0.8126272912423625
tox21,cluster,train,SVC,balanced_accuracy_score,0.8886063234064216
tox21,cluster,validate,SVC,balanced_accuracy_score,0.6677130968565896
tox21,cluster,train,SVC,f1_score,0.8455565142364109
tox21,cluster,validate,SVC,f1_score,0.4213836477987421
tox21,cluster,train,SVC,roc_auc_score,0.9651710717012887
tox21,cluster,validate,SVC,roc_auc_score,0.7888394512421208
tox21,cluster,train,SVC,log_loss,0.1892890747580499
tox21,cluster,validate,SVC,log_loss,0.36164577953809
tox21,cluster,train,SVC,matthews_corrcoef,0.8306413745716551
tox21,cluster,validate,SVC,matthews_corrcoef,0.312353510838582
tox21,cluster,N/A,SVC,fit_time,0:00:24.537474
tox21,cluster,train,LogisticRegression,accuracy_score,0.9552721393928507
tox21,cluster,validate,LogisticRegression,accuracy_score,0.8411405295315683
tox21,cluster,train,LogisticRegression,balanced_accuracy_score,0.8282179349322363
tox21,cluster,validate,LogisticRegression,balanced_accuracy_score,0.6815885963828121
tox21,cluster,train,LogisticRegression,f1_score,0.7688022284122563
tox21,cluster,validate,LogisticRegression,f1_score,0.45833333333333337
tox21,cluster,train,LogisticRegression,roc_auc_score,0.9745494644350594
tox21,cluster,validate,LogisticRegression,roc_auc_score,0.8177687142092037
tox21,cluster,train,LogisticRegression,log_loss,0.1255349072806917
tox21,cluster,validate,LogisticRegression,log_loss,0.42247295588331873
tox21,cluster,train,LogisticRegression,matthews_corrcoef,0.7561530981634482
tox21,cluster,validate,LogisticRegression,matthews_corrcoef,0.3652719291605659
tox21,cluster,N/A,LogisticRegression,fit_time,0:00:00.521004
tox21,cluster,train,RandomForestClassifier,accuracy_score,0.9994611101131669
tox21,cluster,validate,RandomForestClassifier,accuracy_score,0.8665987780040734
tox21,cluster,train,RandomForestClassifier,balanced_accuracy_score,0.9975922953451044
tox21,cluster,validate,RandomForestClassifier,balanced_accuracy_score,0.5568285749598318
tox21,cluster,train,RandomForestClassifier,f1_score,0.997586484312148
tox21,cluster,validate,RandomForestClassifier,f1_score,0.20606060606060606
tox21,cluster,train,RandomForestClassifier,roc_auc_score,0.9999586054013619
tox21,cluster,validate,RandomForestClassifier,roc_auc_score,0.8486960820664936
tox21,cluster,train,RandomForestClassifier,log_loss,0.05702445196958511
tox21,cluster,validate,RandomForestClassifier,log_loss,0.343307345369336
tox21,cluster,train,RandomForestClassifier,matthews_corrcoef,0.9972868608137008
tox21,cluster,validate,RandomForestClassifier,matthews_corrcoef,0.2854571711644719
tox21,cluster,N/A,RandomForestClassifier,fit_time,0:00:00.675146
tox21,cluster,train,KNeighborsClassifier,accuracy_score,0.9320998742590264
tox21,cluster,validate,KNeighborsClassifier,accuracy_score,0.8574338085539714
tox21,cluster,train,KNeighborsClassifier,balanced_accuracy_score,0.7295966834972235
tox21,cluster,validate,KNeighborsClassifier,balanced_accuracy_score,0.579961273843365
tox21,cluster,train,KNeighborsClassifier,f1_score,0.6070686070686071
tox21,cluster,validate,KNeighborsClassifier,f1_score,0.27835051546391754
tox21,cluster,train,KNeighborsClassifier,roc_auc_score,0.961014404670999
tox21,cluster,validate,KNeighborsClassifier,roc_auc_score,0.7488567544184896
tox21,cluster,train,KNeighborsClassifier,log_loss,0.1445034168105712
tox21,cluster,validate,KNeighborsClassifier,log_loss,1.7423435772707065
tox21,cluster,train,KNeighborsClassifier,matthews_corrcoef,0.6053565165969442
tox21,cluster,validate,KNeighborsClassifier,matthews_corrcoef,0.260565893173236
tox21,cluster,N/A,KNeighborsClassifier,fit_time,0:00:00.007998
tox21,cluster,train,GradientBoostingClassifier,accuracy_score,0.8956349919166517
tox21,cluster,validate,GradientBoostingClassifier,accuracy_score,0.8533604887983707
tox21,cluster,train,GradientBoostingClassifier,balanced_accuracy_score,0.5428265270873267
tox21,cluster,validate,GradientBoostingClassifier,balanced_accuracy_score,0.5148518930498909
tox21,cluster,train,GradientBoostingClassifier,f1_score,0.15918958031837915
tox21,cluster,validate,GradientBoostingClassifier,f1_score,0.06493506493506494
tox21,cluster,train,GradientBoostingClassifier,roc_auc_score,0.8598203571818168
tox21,cluster,validate,GradientBoostingClassifier,roc_auc_score,0.8029374201787995
tox21,cluster,train,GradientBoostingClassifier,log_loss,0.26533083619671705
tox21,cluster,validate,GradientBoostingClassifier,log_loss,0.35166023743706926
tox21,cluster,train,GradientBoostingClassifier,matthews_corrcoef,0.24582711911168442
tox21,cluster,validate,GradientBoostingClassifier,matthews_corrcoef,0.11058108939255863
tox21,cluster,N/A,GradientBoostingClassifier,fit_time,0:00:07.373857
tox21,cluster,train,DummyClassifier,accuracy_score,0.888090533500988
tox21,cluster,validate,DummyClassifier,accuracy_score,0.8523421588594705
tox21,cluster,train,DummyClassifier,balanced_accuracy_score,0.5
tox21,cluster,validate,DummyClassifier,balanced_accuracy_score,0.5
tox21,cluster,train,DummyClassifier,f1_score,0.0
tox21,cluster,validate,DummyClassifier,f1_score,0.0
tox21,cluster,train,DummyClassifier,roc_auc_score,0.5
tox21,cluster,validate,DummyClassifier,roc_auc_score,0.5
tox21,cluster,train,DummyClassifier,log_loss,3.8652160398831255
tox21,cluster,validate,DummyClassifier,log_loss,5.099921158107993
tox21,cluster,train,DummyClassifier,matthews_corrcoef,0.0
tox21,cluster,validate,DummyClassifier,matthews_corrcoef,0.0
tox21,cluster,N/A,DummyClassifier,fit_time,0:00:00
