,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.00035085678100585935,0.0016874313354492188,0.9164674634794157,0.0,0.5,-2.885111600584173
std,7.907406567634074e-05,0.00020216880516449797,0.00018184679864049325,0.0,0.0,0.006280765916374503
min,0.00031304359436035156,0.0015811920166015625,0.9163346613545816,0.0,0.5,-2.889698423478584
25%,0.00031304359436035156,0.0015871524810791016,0.9163346613545816,0.0,0.5,-2.8896984234785834
50%,0.00031304359436035156,0.0015952587127685547,0.9163346613545816,0.0,0.5,-2.8896984234785834
75%,0.0003230571746826172,0.0016257762908935547,0.9166666666666666,0.0,0.5,-2.878231366242557
max,0.000492095947265625,0.0020477771759033203,0.9166666666666666,0.0,0.5,-2.878231366242557
