,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.4725956916809082,0.04419732093811035,0.9029627521659395,0.3613032581453634,0.7782490387459331,-0.24572802573023336
std,0.12486971043611556,0.006099293715915609,0.015387341493018108,0.0995458798724557,0.06899399950001887,0.02544193143403846
min,0.35103321075439453,0.03699541091918945,0.876984126984127,0.22222222222222224,0.6922360248447205,-0.2839486479518095
25%,0.4139707088470459,0.040999650955200195,0.9043824701195219,0.3111111111111111,0.7565217391304346,-0.24652506183100004
50%,0.42096972465515137,0.0429990291595459,0.9047619047619048,0.36842105263157887,0.764069264069264,-0.24506947250758093
75%,0.5029995441436768,0.04699444770812988,0.9123505976095617,0.42857142857142855,0.7971552257266543,-0.2405408301379431
max,0.6740052700042725,0.05299806594848633,0.9163346613545816,0.47619047619047616,0.8812629399585922,-0.21255611622283313
