,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.003298330307006836,0.08172802925109864,0.9140865110984633,0.0,0.5778052933953555,-1.7669801119689486
std,0.0008310866667476255,0.018182963345336697,0.003383041035219644,0.0,0.07376337529791382,0.6462597932880342
min,0.0020020008087158203,0.0655219554901123,0.9087301587301587,0.0,0.4673913043478261,-2.9041798391844202
25%,0.0030007362365722656,0.07306075096130371,0.9126984126984127,0.0,0.5427746856318285,-1.6592430020490807
50%,0.00351715087890625,0.07400178909301758,0.9163346613545816,0.0,0.6020703933747411,-1.5150793961900197
75%,0.0039708614349365234,0.08399820327758789,0.9163346613545816,0.0,0.623995052566481,-1.3814511832655336
max,0.00400090217590332,0.11205744743347168,0.9163346613545816,0.0,0.6527950310559005,-1.3749471391556884
