,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,213.51366848945617,0.04306635856628418,0.9029627521659395,0.3613032581453634,0.7782490387459331,-0.2433908800616616
std,476.6283794206338,0.003581704317970554,0.015387341493018108,0.0995458798724557,0.06899399950001887,0.02440516867650218
min,0.3213062286376953,0.03860306739807129,0.876984126984127,0.22222222222222224,0.6922360248447205,-0.27881103799682866
25%,0.33421993255615234,0.04076194763183594,0.9043824701195219,0.3111111111111111,0.7565217391304346,-0.2445650510500752
50%,0.34816527366638184,0.04284477233886719,0.9047619047619048,0.36842105263157887,0.764069264069264,-0.2440360625969378
75%,0.4322209358215332,0.045664072036743164,0.9123505976095617,0.42857142857142855,0.7971552257266543,-0.2394795555793254
max,1066.1324300765991,0.04745793342590332,0.9163346613545816,0.47619047619047616,0.8812629399585922,-0.21006269308514075
