,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.00019831657409667968,0.0030017375946044924,0.9164674634794157,0.0,0.5,-2.885111600584173
std,0.0004434493407450497,0.0007000621408318268,0.00018184679864049325,0.0,0.0,0.006280765916374503
min,0.0,0.0019884109497070312,0.9163346613545816,0.0,0.5,-2.889698423478584
25%,0.0,0.0029931068420410156,0.9163346613545816,0.0,0.5,-2.8896984234785834
50%,0.0,0.003027200698852539,0.9163346613545816,0.0,0.5,-2.8896984234785834
75%,0.0,0.0030329227447509766,0.9166666666666666,0.0,0.5,-2.878231366242557
max,0.0009915828704833984,0.0039670467376708984,0.9166666666666666,0.0,0.5,-2.878231366242557
