,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.26696138381958007,0.04301033020019531,0.9140801871877569,0.03333333333333333,0.7351006964050442,-0.26287874640703174
std,0.028871642140546477,0.0023152782342229145,0.0022172500321967804,0.04564354645876384,0.06593960942687592,0.020592025603742264
min,0.2409195899963379,0.04113125801086426,0.9123505976095617,0.0,0.6891362605648319,-0.28007295848375563
25%,0.2515575885772705,0.041937828063964844,0.9123505976095617,0.0,0.706967635539064,-0.27557499139765784
50%,0.25853824615478516,0.04210066795349121,0.9126984126984127,0.0,0.7130434782608694,-0.2692728398034559
75%,0.26839637756347656,0.04288196563720703,0.9163346613545816,0.08333333333333333,0.7146997929606625,-0.26117000056657574
max,0.3153951168060303,0.04699993133544922,0.9166666666666666,0.08333333333333333,0.8516563146997929,-0.2283029417837134
