,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,451.63240733146665,9.286823034286499,0.9642142054495041,0.187739248121015,0.6782695454832443,-0.1403468487481246
std,25.663448767350015,0.2000591744048083,0.0014978039239574594,0.05079712567233849,0.03502790544022516,0.005510901910524604
min,412.1307919025421,9.068929195404053,0.9626716247139588,0.125,0.6209542521757125,-0.14917087726180953
25%,439.328115940094,9.077852964401245,0.9632437070938215,0.16835016835016833,0.6724635931432001,-0.14113536160943235
50%,465.7466139793396,9.35709810256958,0.9639536546988986,0.18181818181818182,0.6898659578892041,-0.1394357102807049
75%,467.91561794281006,9.450418949127197,0.9646688599628094,0.19937694704049846,0.6960575120403512,-0.13746372150713812
max,473.0408968925476,9.47981595993042,0.9665331807780321,0.2641509433962264,0.712006412167753,-0.13452857308153812
