,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,36.092769145965576,0.113303804397583,0.9655586931481371,0.03174627879437605,0.6920200940283228,-0.13541869413340848
std,0.20606245311598997,0.004180294268956519,0.0007446499015641827,0.033184433589485286,0.05064268351514467,0.0051039042740042215
min,35.882755756378174,0.10895848274230957,0.9646739130434783,0.00816326530612245,0.6239929637571039,-0.14067052872766347
25%,35.9618661403656,0.10904431343078613,0.9652410241739379,0.00819672131147541,0.6657733777965582,-0.14038084428984252
50%,36.02971696853638,0.11395859718322754,0.9653890160183066,0.01593625498007968,0.6987851271366525,-0.13475328702283218
75%,36.18743419647217,0.11662912368774414,0.9658180778032036,0.040160642570281124,0.7126716532307485,-0.1323712840692214
max,36.40207266807556,0.11792850494384766,0.9666714347017594,0.08627450980392158,0.7588773482205506,-0.12891752655748273
