,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,21.26674370765686,0.06738123893737794,0.9655586931481371,0.03174627879437605,0.6920200940283228,-0.13541869413340848
std,0.005416148056383337,0.0038312985809813094,0.0007446499015641827,0.033184433589485286,0.05064268351514467,0.0051039042740042215
min,21.261329889297485,0.06329822540283203,0.9646739130434783,0.00816326530612245,0.6239929637571039,-0.14067052872766347
25%,21.26205587387085,0.06344079971313477,0.9652410241739379,0.00819672131147541,0.6657733777965582,-0.14038084428984252
50%,21.267042636871338,0.06828904151916504,0.9653890160183066,0.01593625498007968,0.6987851271366525,-0.13475328702283218
75%,21.268651962280273,0.07050490379333496,0.9658180778032036,0.040160642570281124,0.7126716532307485,-0.1323712840692214
max,21.274638175964355,0.07137322425842285,0.9666714347017594,0.08627450980392158,0.7588773482205506,-0.12891752655748273
