,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,2.386778450012207,0.14881906509399415,0.9565826330532212,0.9775334910393871,0.7956478898915322,-0.13641907923747856
std,0.11305092464301895,0.013345359980813492,0.0022144801541795294,0.0011302979389652592,0.0385293044064797,0.02389184602623325
min,2.2403128147125244,0.13203692436218262,0.9537815126050421,0.976173285198556,0.7313207547169811,-0.1746899062362007
25%,2.3479981422424316,0.13700342178344727,0.9551820728291317,0.9767441860465117,0.7982583454281568,-0.13872113700515679
50%,2.3543899059295654,0.15502619743347168,0.9565826330532213,0.977519941986947,0.8023550724637681,-0.12978733244866075
75%,2.454155683517456,0.1590280532836914,0.957983193277311,0.9782293178519593,0.8123076923076923,-0.12928072942737373
max,2.5370357036590576,0.16100072860717773,0.9593837535014006,0.9790007241129616,0.8339975845410629,-0.10961629107000084
