,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.1471264362335205,0.011993789672851562,0.9683473389355741,0.9837716601135273,0.8407528694530335,-0.1244495350747296
std,0.037110365434554926,0.0009916395584837864,0.003652214232606513,0.0018679622859417602,0.031559509510243805,0.016388790307019736
min,0.12400174140930176,0.010999202728271484,0.9635854341736695,0.9813486370157818,0.7856023222060958,-0.1521187311430406
25%,0.12406420707702637,0.011000633239746094,0.9663865546218487,0.9827833572453372,0.8445652173913045,-0.12561830770944007
50%,0.12800288200378418,0.012002944946289062,0.9677871148459384,0.9834413246940246,0.8539912917271408,-0.1186301227410647
75%,0.14860749244689941,0.012969970703125,0.9719887955182073,0.985632183908046,0.8561393323657474,-0.11501713216287571
max,0.21095585823059082,0.012996196746826172,0.9719887955182073,0.9856527977044477,0.8634661835748791,-0.11086338161722695
