,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.5004389762878418,0.05609297752380371,0.9683473389355741,0.9838361895164978,0.8053468549953374,-0.2210209855333741
std,0.08963500272772394,0.0028413470671094466,0.0012526991470587013,0.0006449777575740721,0.030171521614941393,0.029541476528858607
min,0.3976271152496338,0.053992271423339844,0.9663865546218487,0.9828326180257511,0.7823222060957911,-0.245129566078248
25%,0.47808003425598145,0.05426621437072754,0.9677871148459384,0.9835361488904796,0.7879535558780841,-0.24464699887786404
50%,0.48384737968444824,0.05518841743469238,0.969187675070028,0.9842632331902719,0.7880406386066765,-0.23411446672386227
75%,0.49802637100219727,0.05605435371398926,0.969187675070028,0.9842632331902719,0.8136775362318841,-0.2034505567334402
max,0.6446139812469482,0.06096363067626953,0.969187675070028,0.9842857142857143,0.8547403381642512,-0.177763339253456
