,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.30420432090759275,0.01959505081176758,0.8778538602867046,0.38525402156350175,0.8073696116336777,-0.3563367137431158
std,0.03791355065736888,0.0024126144350744535,0.019070064030367873,0.06675966084433478,0.03318463576559225,0.02859602776203233
min,0.26900196075439453,0.0169832706451416,0.848294434470377,0.29069767441860467,0.768644606803875,-0.404357951903164
25%,0.27101588249206543,0.017998218536376953,0.8697214734950584,0.36065573770491804,0.7877856420626894,-0.35815843852937274
50%,0.29200148582458496,0.0189969539642334,0.8858939802336029,0.39810426540284355,0.8026150559378976,-0.3479847512822322
75%,0.34200167655944824,0.020998001098632812,0.8903863432165319,0.40329218106995884,0.8229230769230769,-0.33953243043544756
max,0.3470005989074707,0.022998809814453125,0.8949730700179533,0.4735202492211838,0.8548796764408493,-0.33164999656536254
