,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.010203886032104491,0.474014949798584,0.8893483412131153,0.26001983739650375,0.717167551859801,-1.6638319229048295
std,0.002363632705747086,0.01563691574006208,0.005994097742057077,0.1267542475920263,0.06238672329445646,0.5338832654041985
min,0.0060002803802490234,0.45969724655151367,0.881508078994614,0.125,0.6371130826184807,-2.3745974515601382
25%,0.01100015640258789,0.46186208724975586,0.8867924528301887,0.15827338129496402,0.6889290257346945,-1.8451068991579924
50%,0.011000394821166992,0.467252254486084,0.8876909254267745,0.24242424242424243,0.7023579373104146,-1.7475045271923213
75%,0.011503934860229492,0.48692989349365234,0.8949730700179533,0.348314606741573,0.7618987854251011,-1.4199712393146124
max,0.011514663696289062,0.49433326721191406,0.8957771787960467,0.4260869565217391,0.7955389282103134,-0.9319794972990827
