,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,0.706123685836792,0.05812067985534668,0.8968909944656025,0.21930693427687245,0.8392081794872235,-0.32852343842809334
std,0.05361419024087375,0.0013761031354607108,0.005398492282153008,0.12918375673123392,0.038350607456311706,0.08816601247012096
min,0.6471560001373291,0.056699275970458984,0.8921832884097035,0.11851851851851852,0.801008676082064,-0.44767170805022455
25%,0.6802115440368652,0.05699872970581055,0.8930817610062893,0.13043478260869565,0.8059745914739554,-0.39354375354101356
50%,0.6859266757965088,0.05795454978942871,0.895870736086176,0.1343283582089552,0.8302123356926188,-0.29726615751706215
75%,0.732008695602417,0.0589289665222168,0.8975741239892183,0.3132530120481928,0.8779959514170039,-0.25280278980265825
max,0.7853155136108398,0.06002187728881836,0.9057450628366248,0.4,0.8808493427704752,-0.2513327832295082
