,fit_time,score_time,test_accuracy,test_f1,test_roc_auc,test_neg_log_loss
count,5.0,5.0,5.0,5.0,5.0,5.0
mean,12.475574207305907,0.7012818336486817,0.8534271809736733,0.3592913369482409,0.7583533614965086,-0.31768206901674645
std,0.3115962354198233,0.0425285455922829,0.020694981196362358,0.07602486389660919,0.04075460429541891,0.022298392088098726
min,12.222330808639526,0.6381490230560303,0.8168761220825853,0.24365482233502536,0.7047237352816466,-0.3462039089621399
25%,12.240920305252075,0.6809980869293213,0.8580413297394429,0.329004329004329,0.7323518705763398,-0.3370041440142128
50%,12.347327470779419,0.7120211124420166,0.8608617594254937,0.37500000000000006,0.7600092958022114,-0.3067888175765529
75%,12.606290340423584,0.7312486171722412,0.8652291105121294,0.41714285714285715,0.7924048582995952,-0.2997968767392088
max,12.961002111434937,0.7439923286437988,0.8661275831087152,0.43165467625899284,0.8022770475227502,-0.29861659779161775
